GWID,STATENAME,FROM,TO,GROUP,SFE_GROUP_ID,CHILD_OF,PARENT_OF,DIVISION,EPR_GROUP_ID,MAR_GROUP_ID,OFFICER_RELATIVE,OFFICER_SOURCEQUAL,OFFICER_LOWER,OFFICER_UPPER,RANK_FILE_RELATIVE,RANK_FILE_SOURCEQUAL,RANK_FILE_LOWER,RANK_FILE_UPPER
652,Syria,1967,2011,Sunni Arabs,652-SUN,,,1,65202000,,2,2,20,30,2,2,20,50
652,Syria,2012,2013,Alawi,652-ALA,,,1,65203000,65201,-99,-99,-99,-99,-99,-99,-99,-99
652,Syria,2012,2013,Christians,652-CHR,,,1,65204000,,-99,-99,-99,-99,-99,-99,-99,-99
652,Syria,2012,2013,Druze,652-DRU,,,1,65201000,65203,-99,-99,-99,-99,-99,-99,-99,-99
652,Syria,2012,2013,Kurds,652-KUR,,,1,65206000,65202,-99,-99,-99,-99,-99,-99,-99,-99
652,Syria,2012,2013,Sunni Arabs,652-SUN,,,1,65202000,,-99,-99,-99,-99,-99,-99,-99,-99
660,Lebanon,1946,1958,Lebanese Christian,660-CHR,,660-MAR,0,66005000,66002,4,3,60,70,3,2,30,50
660,Lebanon,1946,1958,Lebanese Muslim,660-MUS,,"660-SUN, 660-SHI",0,,,2,2,30,40,3,2,50,70
660,Lebanon,1946,1958,Maronite,660-MAR,660-CHR,,1,,,4,3,40,50,4,1,30,50
660,Lebanon,1946,1958,Palestinian,660-PAL,,,1,66007000,66003,1,1,0,0,1,1,0,10
660,Lebanon,1946,1958,Shi'ite,660-SHI,660-MUS,,1,66008000,66004,2,2,0,10,4,2,20,50
660,Lebanon,1946,1958,Sunni,660-SUN,660-MUS,,1,66010000,66005,2,3,10,20,2,2,0,20
660,Lebanon,1959,1975,Lebanese Christian,660-CHR,,660-MAR,0,66005000,66002,4,3,50,60,3,2,30,50
660,Lebanon,1959,1975,Lebanese Muslim,660-MUS,,"660-SUN, 660-SHI",0,,,3,2,40,50,3,2,50,70
660,Lebanon,1959,1975,Maronite,660-MAR,660-CHR,,1,,,4,3,30,40,4,1,30,50
660,Lebanon,1959,1975,Palestinian,660-PAL,,,1,66007000,66003,1,1,0,0,1,1,0,10
660,Lebanon,1959,1975,Shi'ite,660-SHI,660-MUS,,1,66008000,66004,2,2,10,20,4,2,20,50
660,Lebanon,1959,1975,Sunni,660-SUN,660-MUS,,1,66010000,66005,2,3,10,20,2,2,0,20
660,Lebanon,1976,1990,Lebanese Christian,660-CHR,,660-MAR,0,,,3,3,50,60,4,3,40,50
660,Lebanon,1976,1990,Lebanese Muslim,660-MUS,,"660-SUN, 660-SHI",0,,,3,1,40,50,3,3,50,60
660,Lebanon,1976,1990,Maronite,660-MAR,660-CHR,,1,66005000,66002,4,2,30,40,4,1,30,50
660,Lebanon,1976,1990,Palestinian,660-PAL,,,1,66007000,66003,1,1,0,0,1,1,0,10
660,Lebanon,1976,1990,Shi'ite,660-SHI,660-MUS,,1,66008000,66004,2,1,10,30,4,3,20,50
660,Lebanon,1976,1990,Sunni,660-SUN,660-MUS,,1,66010000,66005,3,1,10,20,2,1,0,20
660,Lebanon,1991,2013,Lebanese Christian,660-CHR,,660-MAR,0,,,4,3,40,50,4,2,40,50
660,Lebanon,1991,2013,Lebanese Muslim,660-MUS,,"660-SUN, 660-SHI",0,,,3,1,50,60,3,1,50,60
660,Lebanon,1991,2013,Maronite,660-MAR,660-CHR,,1,66005000,66002,4,1,30,40,4,1,20,50
660,Lebanon,1991,2013,Palestinian,660-PAL,,,1,66007000,66003,1,1,0,0,1,1,0,0
660,Lebanon,1991,2013,Shi'ite,660-SHI,660-MUS,,1,66008000,66004,-99,-99,20,30,4,1,30,60
660,Lebanon,1991,2013,Sunni,660-SUN,660-MUS,,1,66010000,66005,-99,-99,10,20,2,2,0,20
663,Jordan,1946,1949,British,663-BRI,,,1,,,-88,-88,20,30,-88,-88,0,0
663,Jordan,1946,1949,Transjordanian,663-TRA,,,1,66301000,,2,1,70,80,3,1,100,100
663,Jordan,1950,1956,British,663-BRI,,,1,,,-88,-88,0,10,-88,-88,0,0
663,Jordan,1950,1956,Palestinian,663-PAL,,,1,66302000,66302,2,1,0,20,2,2,0,30
663,Jordan,1950,1956,Transjordanian,663-TRA,,,1,66301000,,4,1,70,100,4,2,70,100
663,Jordan,1957,1965,Palestinian,663-PAL,,,1,66302000,66302,2,2,10,30,2,3,10,30
663,Jordan,1957,1965,Transjordanian,663-TRA,,,1,66301000,,4,2,70,90,4,3,70,90
663,Jordan,1966,1972,Palestinian,663-PAL,,,1,66302000,66302,2,2,30,40,3,3,40,50
